#id: 4146582079
#name: E.coli - Whole organism (Integrated)
#score: 24.69
#description: integrated dataset: weighted average of all E.coli WHOLE_ORGANISM, Interaction consistency score: 24.69, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 99
#publication_year: 2021
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
15202146	511145.b3180	1018
15202449	511145.b3509	1016
15202664	511145.b3735	1015
15200259	511145.b1103	1011
15201156	511145.b2080	988
15202214	511145.b3251	985
15200960	511145.b1857	982
15199409	511145.b0166	981
15201355	511145.b2296	978
15199468	511145.b0237	973
15202556	511145.b3619	962
15202685	511145.b3764	960
15201521	511145.b2476	944
15203251	511145.b4401	944
15201118	511145.b2042	943
15201633	511145.b2592	938
15203082	511145.b4207	935
15201368	511145.b2309	935
15200394	511145.b1251	930
15200823	511145.b1718	926
15200322	511145.b1174	918
15200094	511145.b0929	909
15202526	511145.b3588	893
15199341	511145.b0095	892
15203233	511145.b4383	884
15201525	511145.b2480	873
15200835	511145.b1732	872
15200664	511145.b1550	870
15200029	511145.b0863	866
15201553	511145.b2508	865
15200248	511145.b1092	864
15200953	511145.b1850	858
15200058	511145.b0893	858
15199318	511145.b0071	857
15199457	511145.b0222	857
15200367	511145.b1219	852
15202665	511145.b3736	851
15200570	511145.b1444	846
15200764	511145.b1656	841
15199863	511145.b0683	840
15202179	511145.b3213	840
15202263	511145.b3311	839
15200791	511145.b1685	838
15201168	511145.b2097	836
15201887	511145.b2890	834
15200842	511145.b1739	834
15199901	511145.b0727	829
15200004	511145.b0838	827
15202309	511145.b3357	826
15199900	511145.b0726	822
15200957	511145.b1854	807
15199949	511145.b0782	804
15201470	511145.b2425	803
15202814	511145.b3916	802
15202745	511145.b3836	800
15200969	511145.b1866	799
15203018	511145.b4139	791
15199255	511145.b0004	790
15200655	511145.b1539	789
15200323	511145.b1175	787
15202876	511145.b3988	787
15200062	511145.b0897	786
15202834	511145.b3936	785
15199378	511145.b0134	784
15200474	511145.b1333	781
15201294	511145.b2234	779
15202660	511145.b3731	776
15202770	511145.b3870	775
15200808	511145.b1702	773
15200864	511145.b1761	770
15199428	511145.b0185	767
15201356	511145.b2297	752
15199920	511145.b0753	752
15200046	511145.b0880	745
15199834	511145.b0643	728
15200743	511145.b1635	726
15202836	511145.b3938	722
15200558	511145.b1431	722
15201910	511145.b2914	716
15200773	511145.b1667	716
15200279	511145.b1123	714
15199602	511145.b0391	711
15202147	511145.b3181	707
15203226	511145.b4376	707
15202642	511145.b3713	705
15201277	511145.b2215	699
15200712	511145.b1604	695
15201218	511145.b2153	687
15199772	511145.b0578	687
15200118	511145.b0953	683
15201112	511145.b2036	682
15202003	511145.b3024	681
15201508	511145.b2463	676
15200967	511145.b1864	676
15202334	511145.b3384	672
15201005	511145.b1905	672
15202934	511145.b4051	672
15201821	511145.b2809	670
15202853	511145.b3956	668
15201510	511145.b2465	660
15199899	511145.b0724	659
15201568	511145.b2523	658
15200403	511145.b1260	654
15200719	511145.b1611	653
15202135	511145.b3167	649
15201163	511145.b2091	645
15199455	511145.b0220	642
15201690	511145.b2669	642
15202270	511145.b3318	640
15203258	511145.b4411	639
15200939	511145.b1836	638
15202547	511145.b3610	633
15199898	511145.b0723	629
15199868	511145.b0688	627
15202355	511145.b3405	627
15202829	511145.b3931	625
15200287	511145.b1131	624
15199833	511145.b0642	621
15199400	511145.b0156	619
15202396	511145.b3453	615
15202142	511145.b3176	613
15200247	511145.b1091	612
15200020	511145.b0854	608
15200934	511145.b1831	607
15199377	511145.b0133	606
15201711	511145.b2697	604
15199700	511145.b0492	601
15200095	511145.b0930	599
15199648	511145.b0439	591
15202812	511145.b3912	591
15200921	511145.b1818	588
15202759	511145.b3858	588
15200816	511145.b1710	588
15199405	511145.b0161	586
15202178	511145.b3212	576
15200955	511145.b1852	576
15203026	511145.b4147	575
15199302	511145.b0053	570
15201353	511145.b2294	570
15201566	511145.b2521	564
15202824	511145.b3926	564
15199389	511145.b0145	563
15202198	511145.b3233	563
15199320	511145.b0073	563
15200613	511145.b1493	562
15202158	511145.b3192	560
15201056	511145.b1967	559
15202657	511145.b3728	558
15199914	511145.b0740	558
15200130	511145.b0965	556
15200401	511145.b1258	555
15199925	511145.b0758	552
15201905	511145.b2908	550
15203241	511145.b4391	550
15202139	511145.b3172	546
15199275	511145.b0026	546
15199981	511145.b0814	542
15202771	511145.b3871	540
15199437	511145.b0194	540
15202619	511145.b3687	534
15199370	511145.b0126	534
15200446	511145.b1304	532
15199319	511145.b0072	531
15201236	511145.b2171	528
15200097	511145.b0932	527
15200048	511145.b0882	525
15202628	511145.b3699	523
15199593	511145.b0382	519
15200264	511145.b1108	517
15199411	511145.b0168	517
15200985	511145.b1882	516
15202008	511145.b3029	515
15202497	511145.b3559	514
15200912	511145.b1809	512
15202299	511145.b3347	508
15200822	511145.b1717	506
15201713	511145.b2699	505
15200632	511145.b1516	504
15201559	511145.b2514	503
15199662	511145.b0453	501
15202942	511145.b4059	499
15199921	511145.b0754	499
15199573	511145.b0357	499
15200208	511145.b1051	498
15200881	511145.b1778	497
15200220	511145.b1064	495
15200553	511145.b1426	490
15199934	511145.b0767	488
15200404	511145.b1261	487
15202654	511145.b3725	486
15201630	511145.b2585	484
15201576	511145.b2531	484
15200166	511145.b1002	483
15201185	511145.b2114	482
15200843	511145.b1740	481
15199860	511145.b0680	481
15200886	511145.b1783	478
15200400	511145.b1257	476
15202401	511145.b3458	474
15200415	511145.b1273	473
15201917	511145.b2922	472
15201291	511145.b2231	472
15200348	511145.b1200	472
15199759	511145.b0565	470
15203127	511145.b4258	469
15200026	511145.b0860	469
15203231	511145.b4381	468
15199681	511145.b0473	465
15199985	511145.b0819	465
15202549	511145.b3612	465
15202136	511145.b3168	463
15199414	511145.b0171	459
15202336	511145.b3386	458
15200722	511145.b1614	455
15199253	511145.b0002	455
15202753	511145.b3847	454
15202144	511145.b3178	454
15201598	511145.b2553	454
15200218	511145.b1062	442
15201895	511145.b2898	439
15201963	511145.b2976	438
15202827	511145.b3929	436
15203101	511145.b4227	434
15200536	511145.b1406	432
15199923	511145.b0756	428
15202251	511145.b3299	424
15202351	511145.b3401	423
15202216	511145.b3253	422
15202019	511145.b3041	421
15200053	511145.b0888	420
15201951	511145.b2959	418
15202156	511145.b3190	418
15202677	511145.b3748	416
15199725	511145.b0523	413
15200820	511145.b1714	412
15201208	511145.b2143	410
15200868	511145.b1765	409
15200418	511145.b1276	409
15202761	511145.b3860	408
15200578	511145.b1452	408
15203089	511145.b4214	408
15199325	511145.b0078	408
15200750	511145.b1642	405
15200286	511145.b1130	404
15199644	511145.b0435	402
15202635	511145.b3706	402
15200984	511145.b1881	401
15200381	511145.b1236	399
15203106	511145.b4234	397
15202577	511145.b3640	397
15203023	511145.b4144	395
15202606	511145.b3671	393
