,loc_tag,abundance
288,Rv0928,594
289,Rv1925,593
290,Rv2534c,589
291,Rv3459c,588
292,Rv3596c,588
293,Rv1643,585
294,Rv1324,585
295,Rv0639,583
296,Rv0700,582
297,Rv0002,581
298,Rv1323,573
299,Rv2773c,573
300,Rv2873,573
301,Rv3747,567
302,Rv0720,564
303,Rv0730,562
304,Rv2091c,561
305,Rv0655,561
306,Rv0056,559
307,Rv3311,559
308,Rv2260,559
309,Rv0036c,556
310,Rv1306,555
311,Rv2195,555
312,Rv2298,553
313,Rv1328,553
314,Rv0957,551
315,Rv1144,548
316,Rv0682,545
317,Rv2721c,544
318,Rv3583c,544
319,Rv0270,542
320,Rv2462c,538
321,Rv2720,536
322,Rv3221A,535
323,Rv1274,535
324,Rv1197,534
325,Rv0088,529
326,Rv1311,529
327,Rv2280,527
328,Rv1297,527
329,Rv2521,526
330,Rv1038c,524
331,Rv0801,523
332,Rv2941,522
333,Rv1305,516
334,Rv1855c,515
335,Rv1099c,514
336,Rv1793,506
337,Rv1269c,506
338,Rv2050,501
339,Rv2928,501
340,Rv1489,500
341,Rv3722c,499
342,Rv2582,499
343,Rv1611,499
344,Rv3133c,497
345,Rv3390,496
346,Rv3788,496
347,Rv0873,495
348,Rv2347c,494
349,Rv1813c,494
350,Rv2868c,492
351,Rv1437,491
352,Rv2769c,487
353,Rv2299c,486
354,Rv1641,485
355,Rv1122,484
356,Rv0637,483
357,Rv3620c,483
358,Rv0147,481
359,Rv3018A,481
360,Rv1703c,478
361,Rv2222c,472
362,Rv0469,471
363,Rv2524c,467
364,Rv1180,465
365,Rv3734c,461
366,Rv0905,459
367,Rv1617,458
368,Rv0643c,457
369,Rv0333,454
370,Rv0548c,453
371,Rv0360c,451
372,Rv3587c,449
373,Rv2634c,448
374,Rv1295,445
375,Rv3616c,440
376,Rv0670,440
377,Rv1511,438
378,Rv0352,437
379,Rv0644c,437
380,Rv3615c,436
381,Rv0503c,433
382,Rv0046c,432
383,Rv3720,431
384,Rv1871c,428
385,Rv1829,426
386,Rv3780,423
387,Rv0559c,422
388,Rv2861c,418
389,Rv2476c,418
390,Rv0500A,417
391,Rv1181,417
392,Rv3043c,417
393,Rv0968,416
394,Rv0871,416
395,Rv3547,415
396,Rv0234c,414
397,Rv3169,412
398,Rv2247,410
399,Rv1248c,409
400,Rv3281,406
401,Rv0787A,406
402,Rv0810c,404
403,Rv1484,401
404,Rv2453c,397
405,Rv2606c,397
406,Rv2200c,395
407,Rv1543,395
408,Rv0282,394
409,Rv1071c,393
410,Rv2054,392
411,Rv3852,392
412,Rv2468c,386
413,Rv2487c,386
414,Rv0231,384
415,Rv3356c,383
416,Rv1544,383
417,Rv1404,382
418,Rv3572,381
419,Rv1079,381
420,Rv0189c,381
421,Rv2406c,381
422,Rv2187,381
423,Rv2150c,380
424,Rv2477c,377
425,Rv3099c,376
426,Rv3273,376
427,Rv1468c,375
428,Rv2172c,375
429,Rv1223,373
430,Rv3410c,373
431,Rv2703,372
432,Rv0005,371
433,Rv0172,371
434,Rv0524,369
435,Rv3709c,368
436,Rv2229c,368
437,Rv2919c,367
438,Rv3463,366
439,Rv1869c,366
440,Rv0007,366
441,Rv0291,365
442,Rv2213,364
443,Rv1794,364
444,Rv2992c,363
445,Rv2094c,362
446,Rv0470c,361
447,Rv0583c,360
448,Rv2259,360
449,Rv1335,359
450,Rv1483,359
