,loc_tag,abundance
300,BSU23490,555
301,BSU33410,554
302,BSU16600,551
303,BSU31110,551
304,BSU16590,551
305,BSU16510,548
306,BSU36610,547
307,BSU06710,546
308,BSU11200,545
309,BSU29780,543
310,BSU27550,541
311,BSU10030,536
312,BSU03870,535
313,BSU27610,534
314,BSU19230,527
315,BSU14560,523
316,BSU14240,522
317,BSU36860,520
318,BSU22600,520
319,BSU29470,520
320,BSU24930,514
321,BSU14940,508
322,BSU33280,507
323,BSU04550,505
324,BSU35490,502
325,BSU12180,501
326,BSU08720,498
327,BSU22360,498
328,BSU36840,498
329,BSU24990,498
330,BSU03510,494
331,BSU15430,493
332,BSU40100,492
333,BSU23850,492
334,BSU23500,487
335,BSU25620,485
336,BSU38550,482
337,BSU30800,478
338,BSU11250,476
339,BSU25190,475
340,BSU27850,473
341,BSU21870,472
342,BSU29820,467
343,BSU35860,467
344,BSU22890,466
345,BSU36820,466
346,BSU04580,466
347,BSU10330,464
348,BSU03480,463
349,BSU11340,460
350,BSU00120,459
351,BSU33540,457
352,BSU15470,454
353,BSU08650,454
354,BSU03360,452
355,BSU06690,447
356,BSU12850,445
357,BSU03050,442
358,BSU28250,437
359,BSU38950,436
360,BSU16610,435
361,BSU10230,433
362,BSU22560,432
363,BSU39220,432
364,BSU40320,430
365,BSU39610,427
366,BSU06580,426
367,BSU28260,423
368,BSU29760,423
369,BSU37130,422
370,BSU15520,422
371,BSU39230,421
372,BSU06490,421
373,BSU34860,420
374,BSU22620,420
375,BSU35120,419
376,BSU27650,417
377,BSU19580,416
378,BSU33880,416
379,BSU06680,413
380,BSU14350,411
381,BSU28950,410
382,BSU28310,408
383,BSU31970,407
384,BSU31080,406
385,BSU02940,400
386,BSU22770,400
387,BSU29840,399
388,BSU36360,399
389,BSU19630,397
390,BSU29640,397
391,BSU06470,396
392,BSU40920,391
393,BSU00920,390
394,BSU06670,387
395,BSU09310,387
396,BSU19300,386
397,BSU11920,386
398,BSU04140,385
399,BSU36460,384
400,BSU28630,384
401,BSU39780,380
402,BSU09990,379
403,BSU30320,378
404,BSU30570,378
405,BSU16300,378
406,BSU23520,378
407,BSU34040,376
408,BSU08760,375
409,BSU17730,374
410,BSU39420,373
411,BSU28900,373
412,BSU39290,373
413,BSU11540,371
414,BSU08060,371
415,BSU39960,370
416,BSU18500,370
417,BSU35640,370
418,BSU00820,369
419,BSU04720,368
420,BSU14820,368
421,BSU38370,368
422,BSU23910,367
423,BSU16980,367
424,BSU11160,366
425,BSU24710,365
426,BSU16570,365
427,BSU21770,365
428,BSU33630,362
429,BSU33430,362
430,BSU28030,362
431,BSU28470,360
432,BSU29410,360
433,BSU35400,360
434,BSU38090,358
435,BSU08070,357
436,BSU24330,357
437,BSU14840,355
438,BSU03610,355
439,BSU07150,354
440,BSU16960,352
441,BSU30560,351
442,BSU28640,350
443,BSU34790,350
444,BSU25870,347
445,BSU27270,347
446,BSU32600,346
447,BSU14640,346
448,BSU31010,345
449,BSU35340,342
450,BSU09670,342
451,BSU11590,341
452,BSU35620,341
453,BSU11870,340
454,BSU15690,340
455,BSU31030,338
456,BSU13610,338
457,BSU22780,337
458,BSU19290,336
459,BSU24080,336
460,BSU28360,335
461,BSU14770,333
462,BSU32990,332
463,BSU23960,332
464,BSU18060,331
465,BSU06180,329
466,BSU38270,329
467,BSU25050,328
468,BSU34880,328
469,BSU39940,328
470,BSU15830,328
471,BSU31580,327
472,BSU34640,327
473,BSU28940,325
474,BSU07550,322
475,BSU22960,322
476,BSU32810,321
477,BSU35270,321
478,BSU35740,321
479,BSU31370,320
480,BSU06840,320
481,BSU00020,320
482,BSU31240,319
483,BSU15900,317
484,BSU24340,317
485,BSU37150,316
486,BSU13140,315
487,BSU34050,315
488,BSU23660,313
489,BSU15680,313
490,BSU01780,313
491,BSU40620,313
492,BSU22230,313
493,BSU34210,312
494,BSU36310,312
495,BSU30200,310
496,BSU15100,309
497,BSU33890,309
498,BSU29210,308
499,BSU35300,308
500,BSU15550,306
501,BSU35920,306
502,BSU09540,305
503,BSU29610,304
504,BSU09550,304
505,BSU34920,304
506,BSU23120,303
507,BSU34190,301
508,BSU31260,300
509,BSU10100,299
510,BSU10220,298
511,BSU09340,298
512,BSU38020,298
513,BSU19310,297
514,BSU00130,296
515,BSU02980,296
516,BSU15500,296
517,BSU01360,295
518,BSU13810,294
519,BSU39820,293
520,BSU27410,293
521,BSU13490,292
522,BSU23970,292
523,BSU24470,290
524,BSU14480,290
525,BSU24610,290
526,BSU08530,289
527,BSU10770,287
528,BSU13950,287
529,BSU35250,286
530,BSU07800,285
531,BSU39250,283
532,BSU15570,282
533,BSU26830,281
534,BSU25460,281
535,BSU15510,281
536,BSU32680,281
537,BSU27560,280
538,BSU11010,280
539,BSU31410,280
540,BSU24030,277
541,BSU35990,277
542,BSU36920,277
543,BSU06510,275
544,BSU37500,275
545,BSU29670,275
546,BSU08080,275
547,BSU36200,275
548,BSU17340,274
549,BSU16780,273
550,BSU35260,272
551,BSU23690,271
552,BSU37330,270
553,BSU14170,269
554,BSU32000,268
555,BSU10340,267
556,BSU03000,267
557,BSU10300,267
558,BSU29850,266
559,BSU38400,265
560,BSU34740,265
561,BSU25200,265
562,BSU11680,265
563,BSU00380,264
564,BSU16160,264
565,BSU39880,264
566,BSU23610,263
567,BSU29200,262
568,BSU25880,262
569,BSU21830,261
570,BSU07360,261
571,BSU38860,259
572,BSU00500,258
573,BSU35410,258
574,BSU22700,255
575,BSU10260,255
576,BSU33780,255
577,BSU16210,254
578,BSU38920,254
579,BSU07830,254
580,BSU36370,252
581,BSU01060,251
582,BSU32690,250
583,BSU07260,250
584,BSU13690,249
585,BSU32750,249
586,BSU28090,249
587,BSU13240,249
588,BSU30230,249
589,BSU04990,246
590,BSU06500,246
591,BSU27520,246
592,BSU38140,245
593,BSU36210,244
594,BSU30690,243
595,BSU12470,241
596,BSU02240,240
597,BSU39900,238
598,BSU11880,238
599,BSU33530,238
600,BSU35650,237
601,BSU24520,234
602,BSU06370,233
603,BSU16440,232
604,BSU37520,231
605,BSU30540,231
606,BSU01630,230
607,BSU34910,229
608,BSU29010,229
609,BSU24810,228
610,BSU40180,228
611,BSU32740,228
612,BSU41040,226
613,BSU04040,226
614,BSU04560,226
615,BSU35960,225
616,BSU34680,225
617,BSU25260,225
618,BSU14120,225
619,BSU32660,224
620,BSU28820,223
621,BSU36870,222
622,BSU22080,222
623,BSU16760,221
624,BSU32330,221
625,BSU03150,220
626,BSU29740,220
627,BSU04470,219
628,BSU16000,218
629,BSU12960,218
630,BSU37010,217
631,BSU14450,217
632,BSU28190,216
633,BSU14510,216
634,BSU17020,215
635,BSU23160,215
636,BSU18780,215
637,BSU37780,214
638,BSU33760,214
639,BSU35290,213
640,BSU32620,213
641,BSU18540,212
642,BSU40340,211
643,BSU28020,211
644,BSU11220,211
645,BSU07870,211
646,BSU07350,209
647,BSU24570,208
648,BSU28120,208
649,BSU09460,208
650,BSU00780,207
651,BSU14430,206
652,BSU24050,205
653,BSU15380,205
654,BSU33830,205
655,BSU29540,204
656,BSU37680,204
657,BSU29530,203
658,BSU33150,203
659,BSU15390,203
660,BSU39400,202
661,BSU14410,202
662,BSU30360,201
663,BSU27660,201
664,BSU07160,201
665,BSU35130,199
666,BSU22320,199
667,BSU16845,199
668,BSU14530,198
669,BSU31990,198
670,BSU15540,197
671,BSU27630,197
672,BSU04690,196
673,BSU00910,196
674,BSU06210,196
675,BSU37670,195
676,BSU32310,195
677,BSU04220,195
678,BSU33049,195
679,BSU33750,195
680,BSU13300,194
681,BSU25680,193
682,BSU06811,192
683,BSU37090,192
684,BSU21880,192
685,BSU38150,191
686,BSU08470,190
687,BSU36180,189
688,BSU13750,189
689,BSU28450,189
690,BSU31230,188
691,BSU02040,188
692,BSU14650,187
693,BSU00710,187
694,BSU12660,187
695,BSU27990,187
696,BSU00070,186
697,BSU16910,185
698,BSU29870,185
699,BSU08930,185
700,BSU21750,185
701,BSU22430,184
702,BSU31945,184
703,BSU28130,183
704,BSU24220,183
705,BSU31890,183
706,BSU11210,182
707,BSU31980,182
708,BSU02050,181
709,BSU31760,181
710,BSU25140,180
711,BSU15230,180
712,BSU32930,179
713,BSU13570,179
714,BSU01380,178
715,BSU16120,177
716,BSU38520,177
717,BSU07710,176
718,BSU31860,176
719,BSU09300,176
720,BSU15200,176
721,BSU41010,176
722,BSU15770,175
723,BSU38290,175
724,BSU27390,173
725,BSU41050,173
726,BSU21330,172
727,BSU25070,171
728,BSU35520,171
729,BSU14920,171
730,BSU11390,171
731,BSU29900,170
732,BSU23310,168
733,BSU29110,168
734,BSU16020,168
735,BSU06170,168
736,BSU24040,168
737,BSU06430,167
738,BSU13580,167
739,BSU34890,167
740,BSU17880,166
741,BSU29250,166
742,BSU18800,166
743,BSU32300,165
744,BSU16260,165
745,BSU24060,165
746,BSU11330,165
747,BSU31750,164
748,BSU33810,164
749,BSU24550,164
750,BSU06560,163
751,BSU04050,163
752,BSU12650,163
753,BSU16560,162
754,BSU15930,161
755,BSU26780,161
756,BSU17380,161
757,BSU23380,161
758,BSU14400,161
759,BSU31780,161
760,BSU10380,160
761,BSU34930,160
762,BSU11400,160
763,BSU06630,159
764,BSU17850,158
765,BSU03790,158
766,BSU40150,158
767,BSU01540,157
768,BSU01760,156
769,BSU39500,156
770,BSU37050,156
771,BSU22500,156
772,BSU24320,156
773,BSU37950,156
774,BSU00940,155
775,BSU03430,154
776,BSU16650,154
777,BSU33130,153
778,BSU32050,153
779,BSU22550,152
780,BSU15340,152
781,BSU15950,152
782,BSU25630,151
783,BSU15980,151
784,BSU18849,150
785,BSU32290,150
786,BSU04210,150
787,BSU07450,150
788,BSU36760,149
789,BSU00530,149
790,BSU28370,149
791,BSU28530,149
792,BSU00060,148
793,BSU13200,148
794,BSU11240,148
795,BSU13860,147
796,BSU13220,147
797,BSU37340,147
798,BSU34780,146
799,BSU29440,146
800,BSU21600,146
801,BSU35970,146
802,BSU06200,146
803,BSU33190,145
804,BSU15180,145
805,BSU27920,145
806,BSU24290,145
807,BSU10130,145
808,BSU12230,144
809,BSU21010,144
810,BSU07690,143
811,BSU16050,143
812,BSU32060,143
813,BSU29790,142
814,BSU22610,142
815,BSU15490,142
816,BSU09380,141
817,BSU32240,141
818,BSU03210,141
819,BSU22130,141
820,BSU35370,140
821,BSU18990,140
822,BSU16990,140
823,BSU15730,140
824,BSU00470,140
825,BSU30660,140
826,BSU28050,140
827,BSU38110,140
828,BSU14300,139
829,BSU32170,138
830,BSU01730,138
831,BSU14010,137
832,BSU18980,137
833,BSU27580,137
834,BSU33870,137
835,BSU15970,136
836,BSU13160,136
837,BSU36550,136
838,BSU11450,136
839,BSU38590,135
840,BSU09570,135
841,BSU04830,135
842,BSU10240,134
843,BSU22420,134
844,BSU21730,134
845,BSU15530,133
846,BSU08090,133
847,BSU03520,133
848,BSU11950,132
849,BSU33240,132
850,BSU09290,132
851,BSU02860,131
852,BSU25590,131
853,BSU13590,131
854,BSU40410,131
855,BSU14220,131
856,BSU03180,131
857,BSU12900,130
858,BSU19590,130
859,BSU14000,130
860,BSU11190,129
861,BSU15280,129
862,BSU04030,129
863,BSU02230,128
864,BSU03910,128
865,BSU25240,128
866,BSU19470,128
867,BSU15670,127
868,BSU11420,127
869,BSU12060,127
870,BSU33860,126
871,BSU22480,126
872,BSU32160,125
